Attraction,Category,Subclass,Address,Tag,Participants,etc,cafe,max,type
롯데호텔 월드,숙소,5성급,서울특별시 송파구 올림픽로 240,#롯데월드호텔#롯데호텔월드#서울숙소#수도권#숙박#잠실호텔#호캉스즐기기#호텔,"5,841",0,0,5,korean
인왕산,관광,산,서울특별시 종로구 무악동 산2-1,#관광지#등산#사직공원#서울산#수도권#수도권산#인왕산#인왕산도#인왕제색도#자연#자하문#트레킹,114,0,0,10,korean
한강시민공원 뚝섬지구,관광,시민공원,서울특별시 광진구 강변북로 139,#걷기길#관광지#나들이#도심여행#뚝섬한강공원#야경투어#연인과함께#자전거여행#조깅#친구와함께#피크닉#한강시민공원뚝섬지구#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,147,0,1,6,korean
종묘,관광,세계문화유산,서울특별시 종로구 종로 157,#가족과함께#가족여행#관광지#교과서속여행#당일치기여행#서울근교여행#세계문화유산#아이와함께#역사#역사여행#역사유적지#유네스코#유네스코세계문화유산#전통역사문화체험#종로가볼만한곳#종묘#친구와함께,748,1,0,2,japanese
불암산,관광,산,서울특별시 노원구 상계동,#가족여행#관광지#당일치기여행#등산#등산로#불암산#사계절#서울근교여행#아이와함께#연인과함께#자연#자연좋은곳#친구와함께#힐링&휴양여행,51,0,0,5,korean
통인시장,관광,시장,서울특별시 종로구 자하문로15길 18,#가족여행#나들이#나홀로여행#데이트코스#도시락카페#먹거리#서울근교여행#쇼핑#수도권#시장맛집#아이와함께#연인과함께#유료주차#전통시장#전통시장투어#체험학습#친구와함께#통인시장#통인전통시장,255,0,0,2,korean
소소한 풍경,음식,한식,서울특별시 종로구 자하문로40길 75,#맛집#부암동맛집#부암동소소한풍경#부암동전망좋은식당#부암동한정식#소소한풍경#음식#전망_좋은#퓨전한정식,453,0,0,7,korean
청와대사랑채,관광,박물관,서울특별시 종로구 효자로13길 45,#가족여행#교과서속여행#기념관#도심여행#문화시설#사계절#사랑채#실내여행지#아이와함께#역사#이색체험#전시관#청와대#청와대사랑채#체험학습#친구와함께,753,0,1,1,cafe
반포한강공원,관광,시민공원,서울특별시 서초구 신반포로11길 40 한강공원 반포 안내센터,#걷기길#관광지#나들이#도심여행#반포한강공원#수도권#야간관광100선#야경투어#연인과함께#인생샷#자전거여행#조깅#친구와함께#피크닉#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,94,2,0,6,west
탑골공원,관광,근린공원,서울특별시 종로구 종로 99 탑골공원,#가족여행#관광지#나들이#드라이브여행#수도권#아이와함께#주말추천여행지#친구와함께#탑골공원,18,0,0,7,korean
남대문 문구상가,관광,"문구,팬시용품",서울특별시 중구 남대문로 6-2,#남대문문구점#남대문시장문구#남대문학용품#문구상가#문구시장#문구용품거리#문구점#사무용품할인점#쇼핑#쇼핑거리#외국인이많이찾는#외국인친구에게추천#추억여행#친구와함께#카메라#포장용품#학용품할인점,80,0,1,1,cafe
서울어린이대공원,관광,테마파크,서울특별시 광진구 능동로 216,#가족여행#걷기여행#관광지#나들이#놀이동산&테마파크#당일치기여행#동물원#사계절#서울근교여행#서울어린이대공원#아이와함께#연인과함께#친구와함께#테마파크#피크닉#힐링&휴양여행,"2,699",1,0,6,chinese
섬세이 테라리움,관광,전시관,서울특별시 성동구 서울숲2길 44-1 지하1층 섬세이 테라리움,#문화시설#서울데이트#서울숲전시#섬세이테라리움#성수전시#이색체험#전시#체험전시,152,0,0,9,korean
목인박물관 목석원,관광,박물관,서울특별시 종로구 창의문로5길 46-1,#문화공간#문화시설#문화예술#문화예술공간#문화예술활동#복합문화공간#열린문화공간#예술여행#종합예술#창작공간#창작물#창작품#창작활동,135,0,0,3,korean
용마폭포공원,관광,"도시,테마공원",서울특별시 중랑구 용마산로 250-12 용마폭포공원관리사무소,#걷기길#관광지#나들이#면목동공원#산책길#산책하기#산책하기좋은곳#수도권#연중무휴#용마산#용마폭포공원#자연여행#자연좋은곳#자연환경#중랑구공원#중랑구폭포공원#폭포공원#휴식공간#휴식여행#휴식하기#휴식하기좋은곳,64,0,0,1,west
국립민속박물관&국립민속박물관 어린이박물관,관광,박물관,서울특별시 종로구 삼청로 37,#2022_추석_당일치기_여행#가족과함께#관광지#광화문박물관#교육여행#국립민속박물관#민속박물관#민속어린이박물관#산업관광#산업관광지#서울박물관#아이와함께#어린이박물관#역사속으로#역사이야기#이색체험#체험프로그램#한국전통,28,0,0,2,korean
서울 운현궁,관광,궁궐,서울특별시 종로구 삼일대로 464 운현궁,#관광지#서울운현궁#수도권#아이와함께#역사#역사공부#역사관광지#역사를품은곳#역사문화재#역사속#역사속으로#역사여행#역사유적지#역사이야기#역사탐방#역사탐험#운현궁#전통역사,47,1,0,4,west
