관광지명,주소,리뷰참여인원,관광지분류명
노천파전,서울특별시 동대문구 회기로28길 3,153명 참여,"전통,민속주점"
비타포,서울특별시 성북구 동소문로 7-3 1층,167명 참여,베트남음식
일미간장게장본점,서울특별시 동대문구 장한로24길 7,422명 참여,게요리
호텔 볼(VOLL),서울특별시 강서구 강서로5나길 30,16명 참여,호텔
금강제화 (강남본점),서울특별시 강남구 강남대로 500,60명 참여,신발
홍루몽,서울특별시 서초구 반포대로12길 26,127명 참여,중식당
뿌자,서울특별시 종로구 종로 327 3층,73명 참여,인도음식
타마린드,서울특별시 종로구 종로3길 17 광화문 D타워 5층 504호,757명 참여,베트남음식
중앙갈치식당,서울특별시 중구 남대문시장길 22-12,"2,666명 참여","해물,생선요리"
홍어명가,서울특별시 중랑구 면목로44길 44,15명 참여,"해물,생선요리"
마포유가궁중족발,서울특별시 마포구 만리재로 19 1층 마포유가궁중족발 마포본점,140명 참여,"족발,보쌈"
밀화,서울특별시 서초구 신반포로 176 신세계백화점 11층,607명 참여,한식
아르모니움,서울특별시 용산구 대사관로 33 아르모니움,309명 참여,이탈리아음식
초롱이고모부대찌개,서울특별시 강동구 상암로11길 4 암사시장 1문,261명 참여,"찌개,전골"
파크 하얏트 서울 코너스톤,서울특별시 강남구 테헤란로 606 파크 하얏트 서울 2층,373명 참여,이탈리아음식
손가네곰국수,서울특별시 성북구 성북로15길 8 손가네곰국수,271명 참여,한식
메종 한남,서울특별시 용산구 유엔빌리지3길 24 메종한남(한남집),289명 참여,양식
우성갈비,서울특별시 중구 동호로7길 13,194명 참여,"육류,고기요리"
챠크라,서울특별시 용산구 독서당로 83,35명 참여,인도음식
백마김씨네 도곡본점,서울특별시 강남구 남부순환로 2743,396명 참여,"육류,고기요리"
스카이 라운지,서울특별시 중구 명동길 61 21층 스카이라운지,22명 참여,바(BAR)
열린송현녹지광장,서울특별시 종로구 송현동 48-9,83명 참여,광장
누리,서울특별시 중구 소공로 119,524명 참여,5성급
서일순대국,서울특별시 동작구 여의대방로22길 20,"1,773명 참여","순대,순댓국"
알디프 티 바,서울특별시 마포구 와우산로35길 19 B1-1F 알디프,967명 참여,홍차전문점
레스피레,서울특별시 종로구 효자로13길 40-7 레스피레,779명 참여,베이커리
물빛광장,서울특별시 영등포구 여의도동 84-9,22명 참여,광장
