,attraction,location,tag,주소,위도,경도
158,국화정원,서울 성북구,#간장게장#간장게장_특선#맛집#성북구맛집#음식#점심특선#정3품#한식#한식맛집#한식백반#한식코스요리#한정식,서울특별시 성북구 성북로 154(성북동),37.594654011,126.9927217057
159,뽐모도로,서울 종로구,#맛집#음식#종로구#파스타,서울특별시 종로구 새문안로9길 19-1,37.5711258838,126.9756378181
160,트레스드,서울 송파구,#MZ세대#까놀리#디저트#디저트맛집#분위기맛집#음식#이색맛집#이탈리아디저트#카놀리,서울특별시 송파구 백제고분로15길 501층,37.5098182999,127.0847462863
161,가문,서울 강북구,#굴짬뽕#맛집#음식#자장면#짬뽕#코스요리#탕수육,서울특별시 강북구 노해로 13,37.6368246468,127.0226983297
162,뱃고동,서울 강남구,#낙지전골#맛집#산낙지불고기언론소개_맛집#오징어불고기#음식,서울특별시 강남구 언주로172길 54,37.5268182631,127.0380278349
166,신승관,서울 종로구,#맛집#시금치만두#음식#종로구#중국집#짜장면#짬뽕#코스요리_각종_중화요리,서울특별시 종로구 종로 19 르메이에르종로타운1217호,37.5708982096,126.9799374337
167,서울서둘째로잘하는집,서울 종로구,#단팥죽#맛집#분위기_좋은#삼청동#삼청동맛집#생강대추차#수정과#식혜#십전대보탕#음식#팥죽#팥죽집,서울특별시 종로구 삼청로 122-1(삼청동),37.5863103414,126.9818479335
168,자인뭉티기,서울 서초구,#맛집#명품구이#모둠구이#뭉티기#육회#음식,서울특별시 서초구 강남대로37길 24-7 호원빌딩,37.4852229871,127.0321378812
169,미자식당,서울 동작구,#맛집#매운탕#양념상차림#음식#회양념,서울특별시 동작구 노들로 674(노량진동),37.5149233858,126.9368568295
170,평안도만두집,서울 종로구,#김치찌개#만두전골#만두전골#만둣국#맛집#빈대떡#음식#접시만두#제육#종로구,서울특별시 종로구 새문안로3길 30,37.57274232,126.973260212
174,코스모스분식,서울 은평구,#남녀노소#맛집#맛집#분식#옛추억#음식#추억#추억여행#친구와함께#태우네분식#행복한추억,서울특별시 은평구 연서로15길 2,37.6105424646,126.9165754218
175,라칸티나,서울 중구,#라자냐#맛집#음식#파스타,서울특별시 중구 을지로 19,37.5662987438,126.9799264535
176,메이다이닝,서울 도봉구,#도봉구#도봉구맛집#디저트#레스토랑#맛집#스테이크#양식맛집#양식코스#연인과함께#음식#코스메뉴,서울특별시 도봉구 도봉로169길 202(도봉동),37.6779978638,127.0353932201
180,동적불고기깡통구이 쌍문 본점,서울 도봉구,#동적불고기#동적불고기깡통구이쌍문본점#쌍리단길맛집#쌍문동맛집#쌍문맛집#음식,서울특별시 도봉구 도봉로109길 30,37.647109724,127.031702771
181,어양,서울 송파구,#맛집#양장피#음식#짜장면#짬뽕#코스요리#탕수우럭#탕수육#해물누룽지,서울특별시 송파구 위례성대로 14,37.5165236019,127.1139267739
185,서래본가,서울 서초구,#갈비식당#서래마을갈비#서래마을고깃집#서래마을식당#서래본가#음식#한우생갈비#호텔분위기식당,서울특별시 서초구 사평대로 126(반포동),37.4998317969,126.99836832
186,갯마을,서울 용산구,#녹두부침#떡국#떡만두국#만두국#만두전골#맛집#손만둣국#용산구#음식,서울특별시 용산구 서빙고로 56,37.523089704,126.9703535474
190,아승지,서울 영등포구,#맛집#서울시#아승지_정식#아승지정식#영등포구#음식#한식,서울특별시 영등포구 신길로 176,37.5078265299,126.9111899234
191,광장싸롱,서울 종로구,#광장시장#레트로#빈티지#음식#전통차#종로강남한의원#청계천,서울특별시 종로구 동호로 403-3(종로5가),37.5703681062,127.0016910214
192,함경면옥,서울 동대문구,#맛집#물·비빔·회냉면#서울맛집#수도권#왕갈비탕#음식#한식#함경면옥,서울특별시 동대문구 왕산로 87,37.5785566095,127.0331712539
193,산도토리임자탕,서울 도봉구,#가족식사_추천#도토리묵무침#도토리묵밥#도토리임자탕#도토리전#맛집#음식,서울특별시 도봉구 덕릉로60길 13,37.6396246351,127.040118884
194,향림,서울 노원구,#냉채류#노원구#닭고기류#담백한_맛#두부·야채류#맛집#밥·면류#샥스핀류#서울시#소고기·돼지고기류#외국인도_선호하는#음식#정성가득#중화요리#해삼·전복류,서울특별시 노원구 한글비석로 151,37.6404418392,127.0751962173
198,금용문,서울 종로구,#가족식사_추천#금용문_중식코스#금용문전가복#딤섬류#맛집#매운새우돈육말이#삼선짜장#우럭튀김#음식#종로구#중국집#차돌짬뽕,"서울특별시 종로구 새문안로5가길 7, 2층",37.5727701079,126.9740156982
202,깃대봉냉면,서울 종로구,#냉면#만두#맛집#음식,서울특별시 종로구 지봉로12길 3,37.577178678,127.015733993
203,순희네빈대떡,서울 종로구,#고기완자언론소개_맛집#녹두빈대떡#맛집#음식,서울특별시 종로구 종로32길 5,37.5706291696,127.0007244353
204,곰국시집 명동,서울 중구,#맛집#음식,"서울특별시 중구 명동10길 19-3, 2층",37.5630742201,126.985592695
206,곰국시집 명동,서울 중구,#맛집#음식,"서울특별시 중구 명동10길 19-3, 2층",37.5630742201,0.0
210,곰국시집 명동,서울 중구,#맛집#음식,"서울특별시 중구 명동10길 19-3, 2층",0.0,126.985592695
212,곰국시집 명동,서울 중구,#맛집#음식,"서울특별시 중구 명동10길 19-3, 2층",0.0,0.0
213,만강 수서점,서울 강남구,#강남맛집#서울맛집#음식#한정식,서울특별시 강남구 밤고개로21길 81,37.4742090955,127.1153778431
214,다락정,서울 종로구,#김치만두전골#만두#맛집#불고기#삼청동맛집#서울맛집추천#음식,서울특별시 종로구 삼청로 131-1,37.5873185513,126.9815007143
215,백원,서울 영등포구,#맛집#음식#코스요리,서울특별시 영등포구 여의공원로 101,37.5320600323,126.9227854058
216,아리차이,서울 관악구,#국코스가성비_갑#맛집#매코스#아리차이코스#음식,서울특별시 관악구 신림동길 4,37.4876902853,126.9282972653
217,익선동 그집,서울 종로구,#만두#맛집#음식#익선동맛집#종로구#칼국수#칼만두,서울특별시 종로구 삼일대로30길 34-4,37.5740757888,126.9894586978
218,먹고을전주콩나물국밥 묵동본점,서울 중랑구,#음식,서울특별시 중랑구 중랑역로 268,37.6160141744,127.077988326
219,명품기사식당뚝다리김치찌개,서울 강동구,#강동구김치찌개전문점#기사식당맛집#김치찌개맛집#뚝다리김치찌개#명품기사식당뚝다리김치찌개#음식#천호김치찌개전문점,서울특별시 강동구 천중로 175(천호동),37.541412844,127.1396792786
223,요리하는남자,서울 송파구,#가성비_갑#남녀노소#맛집#분위기_좋은가족식사_추천#블랙치킨샐러드#서양식#안심_팬스테이크#연인과함께#음식#이탈리아음식#청포도리코타샐러드,서울특별시 송파구 백제고분로7길 27,37.5108820134,127.0818631852
224,성수족발,서울 성동구,#맛집#서울3대족발#성수맛집#순대국#음식#음식점#족발#족발맛집,서울특별시 성동구 아차산로7길 7,37.5459941052,127.0542647014
228,키미아트,서울 종로구,#맛집#수도권#음식#카페#키미아트카페,서울특별시 종로구 평창30길 47,37.6157900743,126.9721924223
