Attraction,tag_word_N,korean,chinese,japanese,west,etc,cafe,max,type
청담골,"['정식', '구이', '갈치', '가정식', '한정식', '누룽지', '맛집', '삼치', '음식점', '조기', '골', '음식', '청담', '볶음', '백반', '제육']",7,0,0,0,0,0,7,korean
몽실이네 토종한우,"['한우', '육회', '갈비탕', '사시미', '우모', '맛집', '마리', '갈비살', '등심', '안심', '살', '음식']",6,0,1,1,0,0,6,korean
미진,"['메밀묵', '정식', '식사', '밥', '종로', '맛집', '가족', '판', '메밀국수', '보쌈', '추천', '메밀', '음식']",4,0,0,0,0,0,4,korean
동심한정식,"['정식', '맛집', '보리', '중구', '굴비', '간장게장', '서울시', '음식']",3,0,0,0,0,0,3,korean
남원추어탕 풍천장어,"['추어탕', '맛집', '강남구', '요리', '한식', '한식당', '음식']",3,0,0,0,0,0,3,korean
산삼청각,"['구이', '송파', '청각', '가락동', '가족', '식당', '모임', '갈비', '집', '숯불', '맛집', '옥', '음식', '돼지갈비', '산삼']",4,0,0,0,0,0,4,korean
테르트르카페,"['전망대', '갤러리', '르트르', '코스', '테', '뷰', '탑', '맛집', '야경', '데이트', '창신동', '명소', '루프', '카페', '서울', '테르트르', '음식']",0,0,0,0,0,1,1,cafe
최수사 대게마을,"['정식', '코스', '사시미', '맛집', '강남구', '서울시', '음식', '대게']",1,0,2,0,0,0,2,japanese
정식당,"['정식', '코스', '맛집', '가족', '연인', '다이닝', '요리', '한식', '음식']",1,0,0,0,1,0,1,korean
인사동큰집,"['한정식', '맛집', '인사동', '한식', '음식']",2,0,0,0,0,0,2,korean
옥류헌릴렉스,"['계곡', '릴', '감성', '옥류', '모닥불', '우이동', '카페', '렉스', '캠프', '우이천', '음식']",0,0,0,0,0,1,1,cafe
위대한밥상 영광,"['정식', '서울특별시', '맛집', '서초구', '굴비', '한식', '음식']",2,0,0,0,0,0,2,korean
부일갈비,"['구이', '식사', '서울', '음식', '갈비탕', '수도권', '생', '맛집', '가족', '양념', '갈비', '맛', '소금', '등심', '추천', '부일', '빗살', '한식']",5,0,0,0,0,0,5,korean
툭툭누들타이,"['태국', '커리', '데이트', '분위기', '얌운센', '얼', '맛집', '외식', '제보', '텃만꿍', '쏨땀', '푸팟퐁', '비', '얌꿍', '가이양', '추천', '음식', '쁘라짠', '코스', '팟퐁', '가족', '꿍', '비주', '뽀삐', '음식점', '가성']",0,0,0,0,9,0,9,etc
금강수림,"['복탕', '장어', '복', '주물', '향토음식', '건강', '맛집', '향토', '음식점', '럭', '꼬리', '지리', '찜', '음식']",5,0,0,0,0,0,5,korean
면목시장,"['면목', '재래시장', '중랑구', '면목동', '시장', '쇼핑', '전통']",1,0,0,0,0,0,1,korean
세상의모든아침,"['전경련회관', '기념일', '여의도', '장소', '웨딩', '인테리어', '촬영', '뷰', '레스토랑', '맛집', '아침', '상의', '브런치', '식당', '펜트하우스', '한강', '음식']",0,0,0,1,1,0,1,west
조선옥,"['갑', '갈비탕', '대구', '향토음식', '맛집', '보양식', '양념', '성비', '갈비', '장국밥', '한식', '한식당', '소갈비', '음식', '탕']",9,0,0,0,0,0,9,korean
미 피아체,"['베리', '닭', '코', '어란', '서울', '치즈', '그라탕', '그릴', '하몽', '산', '맛집', '파스타', '오일', '이탈리아음식', '이태리', '매콤', '강남', '스페인', '청담동', '레스토랑', '알', '추천', '음식', '바게트', '로', '성게']",0,0,0,9,1,0,9,west
[백년가게]창성옥,"['소개', '전골', '백년', '뼈', '가게', '맛집', '언론', '음식', '제보', '해장국', '용산']",2,0,0,0,0,0,2,korean
갯마을풍천장어,"['능이', '도봉산', '백숙', '솥밥', '맛집', '레기', '조림', '전복', '코다리', '음식', '민물장어', '삼계탕', '옻', '오리', '도봉']",9,1,0,0,0,0,9,korean
최대감네,"['음식', '맛집']",0,0,0,0,0,0,0,None
