,Attraction,Subclass,Address,Participants
178,교보문고,서점,서울특별시 종로구 종로 1 교보생명빌딩 지하1층,"23,013"
179,잠원한강공원,시민공원,서울특별시 서초구 잠원동,81
180,풋볼 팬타지움,박물관,서울특별시 마포구 월드컵로 240,18
181,달맞이봉공원,근린공원,서울특별시 성동구 금호동4가 산27,13
182,[백년가게]삼거리 먼지막 순대국,"순대,순댓국",서울특별시 영등포구 시흥대로185길 11,"1,022"
183,아이파크몰 용산점,"쇼핑센터,할인매장",서울특별시 용산구 한강대로23길 55,"5,539"
184,서울 중앙시장,시장,서울특별시 중구 퇴계로85길 36,15
185,세종한우정육점식당  2호점,정육식당,서울특별시 강남구 학동로 219 국제빌딩 지층,481
186,그랜드 워커힐 리버파크(야외수영장),수영장,서울특별시 광진구 워커힐로 177,523
187,청계천박물관,박물관,서울특별시 성동구 청계천로 530 청계천박물관,40
188,용마산,산,서울특별시 중랑구 면목동,45
189,장충단공원,"도시,테마공원",서울특별시 중구 동호로 257-10,23
190,하우스 도산,선글라스,"서울특별시 강남구 압구정로46길 50 M층, 2층, 3층",141
191,레치키치 스튜디오,"사진,스튜디오",서울특별시 마포구 신촌로2안길 2 보애빌딩 지하,"2,225"
192,프레젠트모먼트,인테리어소품,서울특별시 마포구 동교로 49-1 1층,197
193,헌인릉 생태경관보전지역(오리나무림),"자연,생태공원",서울특별시 서초구 헌인릉길 36-10 헌인릉,15
194,은평한옥마을,체험마을,서울특별시 은평구 진관동 193-14,53
195,우리유황온천,"온천,스파",서울특별시 광진구 자양로5길 33 지하2층,227
196,파리공원,"도시,테마공원",서울특별시 양천구 목동동로 363 파리공원,32
197,한성백제박물관,박물관,서울특별시 송파구 위례성대로 71 한성백제박물관,330
198,서울생활사박물관,박물관,서울특별시 노원구 동일로174길 27,36
199,강변스파랜드,찜질방,서울특별시 광진구 구의강변로 45 지하2층,452
200,삼청동수제비,한식,서울특별시 종로구 삼청로 101-1,"6,211"
201,경의선책거리,편의점,서울특별시 마포구 신촌로4길 18,246
202,광화문광장,광장,서울특별시 종로구 세종대로 175 세종이야기,123
203,서대문안산,산,서울특별시 서대문구 봉원동,24
204,런던베이글뮤지엄,베이커리,서울특별시 종로구 북촌로4길 20,"6,466"
205,서울광장,광장,서울특별시 중구 을지로 12 시청광장지하쇼핑센터,59
