video_title,video_view_count,author,comment_date,comment,reply_author,reply_date,reply_comment
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-ys9tp4db2r,2024-04-25T13:46:23Z,"역시 리재명국... 다 가져다 팔 생각부터 하는군.,..",,,
,,@user-ns9vw5ce5i,2024-04-25T14:19:22Z,,@user-ns9vw5ce5i,2024-04-25T14:19:22Z,밥은 먹고 다니냐?
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-us3kt3lt5v,2024-04-25T14:52:43Z,윤석열은 뭐하나? ㅅㅂ 양평땅 그린벨트 풀고 어떻게 돈받을까 그거 걱정하느라 정신없나?,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@hahamomo135,2024-04-25T12:15:14Z,넘기라는게 윤정부의 입장입니다.,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@Freeroad10,2024-04-25T09:36:13Z,윤씨는 기시다  하고 밥한끼 먹었을 뿐인데..,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-vm4fh4ei5y,2024-04-25T09:32:53Z,윤석렬정권이다..<br>보호 하겠냐??,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-fp1go7vg5j,2024-04-25T09:02:39Z,미국이 중국에게 하는 짓을<br>일본이 우리에게 하고 있네<br>그러나 윤석열은 일본을 너무 사랑해서 대한민국 기업을 일본에 넘겨주는 것 쯤은 기분 좋게 넘어가겠지.,,,
,,@CafeNight921,2024-04-25T09:12:25Z,,@CafeNight921,2024-04-25T09:12:25Z,개인 정보를 무려 세 번에 걸쳐 털린 탓에 명분을 일본한테 제대로 준 거임. 이건 우리가 꼬와도 해결하기 쉽지 않음
,,@starfirenuclear,2024-04-25T09:14:52Z,,@starfirenuclear,2024-04-25T09:14:52Z,@@CafeNight921 그렇게 따지면 페북은 뭐임... 그리고 일본이 라인을 가져가면 개인 정보가 안털릴 거 같음???  양자컴퓨터가 나오지 않는 이상 털리면 털리는 것임. 그리고 IT후진국인 일본이 관리를 하면 훨씬 더 쉽게 털리지.  개인 정보가 털렸던 것은 일본에게 명분이 될 수 없음.
,,@CafeNight921,2024-04-25T09:25:04Z,,@CafeNight921,2024-04-25T09:25:04Z,"@@starfirenuclear 입장 바꿔서 카카오톡의 지분이 중국이고, 중국 기업과 한국 모 기업이 서로 합작해 개발해서 지분을 서로 나눠 갖고 있다고 생각해 보셈. 근데 카톡에서 한국인 개인정보 50만건이 넘게 유출됐다고 생각하면 당연히 정부 차원에서 카카오톡에 대한 지분을 높이라고 한국 모 기업에 요구하겠죠. 지금 라인이 딱 그 상황이고요."
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@jaehomoon7751,2024-04-25T12:06:17Z,줘야지...주인님께서 달라하시는데 종놈이 말이 많어...친일파 딱가리가,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@junghoshin6876,2024-04-25T12:48:13Z,서버 포맷하고 코드 뽑읍시다,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@limgyuhoo5516,2024-04-25T12:34:55Z,일본보면 독재국가 사회주의 국가라고 생각하는데 ㅋㅋㅋ 항상 어느 정신나간 나라가 회사의 지분을 배나라 감나라 하냐 ㅋㅋㅋㅋㅋㅋ,,,
"[이런뉴스] 네이버, 13년 키운 ‘라인’ 일본에 뺏기나? / KBS 2024.04.25.",41821,@user-bp3ty7zp2w,2024-04-25T09:59:45Z,1호영업사원이 일본가서해결하면인정,,,
