video_title,video_view_count,author,comment_date,comment,reply_author,reply_date,reply_comment
,,@korea-xp2md,2024-05-11T06:51:22Z,,@korea-xp2md,2024-05-11T06:51:22Z,​@@niendeiv9898너희 개인정보 알아서 뭐에다 쓰게 ㅋㅋㅋㅋㅋㅋ
,,@user-mf4xr4qs2m,2024-05-11T07:03:03Z,,@user-mf4xr4qs2m,2024-05-11T07:03:03Z,@@synapse1_ 사고의 발단이 네이버쪽 서버가 뚫려서 유출된건데 해외에 자기들개인정보 놓고 관리도 못하고하니 대책도 못세우는건데 이게 왜 관련이없냐?
,,@anon-zq2jc,2024-05-11T07:21:44Z,,@anon-zq2jc,2024-05-11T07:21:44Z,"@@user-ip6uj5rz1k 3년전 첫 행정지도때 네이버가 일본에 데이터 센터 짓기로 약속했는데 아직 삽질도 안해서 일본이 빡쳤다잖아요. 경영권 뺏는건 말이 안되는건 맞는데 한국 사람들 또 전후사정, 맥락 안살펴보고 감정만 앞세운다."
,,@synapse1_,2024-05-11T08:20:26Z,,@synapse1_,2024-05-11T08:20:26Z,​@@user-mf4xr4qs2m 그러니까 시정조치는 해킹 보안을 위해서 시정하라는건데 그게 뭔 상관이냐고 <br>뭐 징벌적 손해배상이냐?<br>그게 문제면 데이터센터 지으라고 내렸겠지<br>기사 찾아보면<br>&#39;21년 이후로 네이버측에서 데이터센터 옮기려고 지속적으로 노력해왔는데 일본정부의 인식이 데이터센터를 옮겨도 한국을 비롯한 제3국에서 접근이 가능한 상황이 지속된다면 사용자의 우려를 해소 할 수 없다는 것&#39; <br>이라는데?<br>데이터 센터 짓는거에 관심없고 한국이 아예 접근불가해야된다는건 일본에 모든걸 넘기고 한국기업은 빠지란 얘기고만
,,@Hailey-sq2hm,2024-05-11T08:29:04Z,,@Hailey-sq2hm,2024-05-11T08:29:04Z,⁠지들 빡쳤다고 회사 내놓으라고 하는게 음침하고 말이 안되는거지
,,@synapse1_,2024-05-11T08:42:10Z,,@synapse1_,2024-05-11T08:42:10Z,​@@anon-zq2jc<br>그게 문제면 데이터센터 지으라고 내렸겠지<br>기사 찾아보면<br>&#39;21년 이후로 네이버측에서 데이터센터 옮기려고 지속적으로 노력해왔는데 일본정부의 인식이 데이터센터를 옮겨도 한국을 비롯한 제3국에서 접근이 가능한 상황이 지속된다면 사용자의 우려를 해소 할 수 없다는 것&#39; <br>이라는데?<br>데이터 센터 짓는거에 관심없고 한국이 아예 접근불가해야된다는건 일본에 모든걸 넘기고 한국기업은 빠지란 얘기고만<br>넌 일본사람이라 일본 입장만 호도하면서 경영권 내놓으라는 얘기를 에둘러서 말하는거임?
,,@anon-zq2jc,2024-05-11T08:50:49Z,,@anon-zq2jc,2024-05-11T08:50:49Z,@@synapse1_ 그러니까 (중국이 접근 가능한) 한국에 있는 데이터센터에서 일본 라인의 데이터를 관리하는걸 못봐주겠다고 중국이 일본 개인정보에 접근하는걸 차단하던지 일본으로 데이터센터 옮기라고 한게 3년전 1차 행정지도라고요. 그런 행정지도 내렸는데 네이버가 알겠다고 해놓고 실행을 안했다잖아요.
,,@synapse1_,2024-05-11T08:52:03Z,,@synapse1_,2024-05-11T08:52:03Z,​@@niendeiv9898 일본정부는 모르는걸 너만 알고 있는거임?? 대단하네 <br>틱톡이 그런건 넌 알고 있고???<br>페북도 그런거 알고 나서 이야기하는거지?<br>친일파놈들 지긋지긋하네 물타기 어휴
,,@synapse1_,2024-05-11T08:57:36Z,,@synapse1_,2024-05-11T08:57:36Z,@@anon-zq2jc 그럼 일본은 중국이 접근 가능하지 못하고??? <br>뭔 실행을 안해 옮기고 있는중이라고 하고<br>일본정부는 데이터센터 옮기는게 문제가 아니라 옮겨도 한국이나 제3국이 접근이 가능해서  여전히 우려가 된다는게 입장이라하는거고만<br>당장에 한국기업이 접근가능한것도 안된다는걸 돌려돌려 말하는거고만<br>데이터센터가 문제면 그거 지으라고 못박으면 끝나는거고 네이버도 지금 사태보단 데이터센터 만들면 끝나는걸 모르겠음???<br>서로 데이터센터 이야기는 한마디도 안꺼내는거 자체가 그게 문제가 아니라는건데 <br>니가 뭔데 그게 문제래
,,@synapse1_,2024-05-11T09:03:08Z,,@synapse1_,2024-05-11T09:03:08Z,@@niendeiv9898 ㅋㅋㅋ 시정한다해도 강제로 외국기업 사업체 뺏는 공산주의 독재국가 일본이였구욘 ㅋㅋㅋ<br>미국기업은 개인정보 더 많이 털려도 찍소리 못하고 논리도 형평성도 없는 시정조치 펼치는 뻔뻔한 일본이구욘 ㅋㅋㅋ
