,Unnamed: 0,attraction,location,tag
59,1684,아리아,서울 중구,#뷔페#뷔페#서양식#서울중구맛집#식품의약품안전처_음식점위생등급_매우우수(2017년)#연인과함께#웨스틴조선호텔#음식#음식점위생등급#인도음식#일식
60,1687,에도긴,서울 강남구,#가족식사_추천#강남구#강남맛집#맛집#생선회#역삼동#음식#일식당#초밥#코스요리
61,1691,초록뜰,서울 동대문구,#7곡연잎밥#두부두루치기#맛집#맛집여행#묵밥#묵사발#버섯전골#서울맛집#음식#초록뜰#초록육개장
62,1694,또순이,서울 동작구,#노량진맛집#동작구맛집#맛집#생선회#음식
63,1695,롯데시티호텔 마포,서울 마포구,#롯데시티호텔#롯데시티호텔마포#마포구#마포구호텔#서울숙소#서울호텔#숙박#호캉스#호텔#호텔수영장
64,1698,달 카페,서울 종로구,#맛집#음식
65,1700,다리원,서울 은평구,#맛집#삼선짜장#음식#해물누룽지탕
66,1701,동해복집,서울 노원구,#노원구#노원맛집#맛집#보양식#복_맑은탕#복_수육담백한_맛#복어#복어맛집#서울맛집추천#음식#이색보양식
67,1702,서울 선샤인호텔,서울 강남구,#강남구#서울숙소#숙박
68,1703,롯데호텔 L7 명동,서울 중구,#L7명동#롯데호텔L7명동#명동#명동호텔#비즈니스호텔#서울숙소#숙박#친구와함께#호캉스
69,1704,톰볼라,서울 서초구,#가성비_갑#랍스타_스파게티#마르게리따_피자#맛집#볼로네제_라자냐#분위기_좋은#서초구#스테이크#스테이크#음식#이국적인#피자
70,1705,한국금융사박물관,서울 중구,#문화시설
71,1706,엄마손칼국수,서울 노원구,#당고개엄마손칼국수#당고개역맛집#당고개역칼국수#엄마손칼국수#음식#칼국수맛집#칼국수맛집
72,1707,고바우소곱창,서울 노원구,#간천엽#곱창#곱창맛집#노원맛집#대창#막창#맛집#소곱창#소막창#암소특양#양#음식
73,1709,장꼬방김치찌개전문,서울 서초구,#묵은지김치찌개#서초 김치찌개#서초 장꼬방김치찌개#서초 찌개#음식#장꼬방김치찌개
74,1710,청송본관함흥냉면,서울 서대문구,#맛집#서울맛집#수도권#음식#청송면옥#한식
75,1711,참숯골,서울 중구,#꽃등심#돌솥비빔밥#맛집#생갈비#안창살#양념갈비#외국인도_선호하는#음식#차돌박이#한식#한식맛집
