,Attraction,topic_type,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
257,상인정신,Topic 1,0.0,0.7948756217956543,0.0,0.17616042494773865,0.0
258,늘푸른식당,Topic 0,0.9377663731575012,0.015575493685901165,0.015586216934025288,0.015506880357861519,0.015564989298582077
259,홍원,Topic 0,0.5371084213256836,0.40677610039711,0.018839122727513313,0.018529247492551804,0.018747108057141304
260,더 킹스,Topic 1,0.06787525117397308,0.7271807789802551,0.06815250962972641,0.06840580701828003,0.06838569045066833
261,해안반점,Topic 2,0.01863796077668667,0.018586885184049606,0.9259324073791504,0.01839386112987995,0.018448881804943085
262,로리스 더 프라임 립,Topic 3,0.012545647099614143,0.01275163609534502,0.012738646939396858,0.9492745995521545,0.01268951315432787
263,백제삼계탕,Topic 3,0.040425855666399,0.04092585667967796,0.04065524414181709,0.8372213840484619,0.04077165201306343
264,라 쿠치나,Topic 2,0.016814598813652992,0.01705831289291382,0.9324031472206116,0.016863007098436356,0.01686086691915989
265,삼수갑산,Topic 0,0.9415059685707092,0.014748400077223778,0.014597802422940731,0.014638463966548443,0.014509332366287708
266,스시겐,Topic 2,0.012753074057400227,0.012843681499361992,0.9490399956703186,0.012697434984147549,0.01266579981893301
267,하모,Topic 3,0.015452578663825989,0.015597580932080746,0.015535125508904457,0.9377991557121277,0.015615551732480526
268,장군갈비,Topic 1,0.01079651340842247,0.9569202661514282,0.010686391033232212,0.010850346647202969,0.010746441781520844
269,평래옥,Topic 1,0.022714324295520782,0.9089398980140686,0.022719718515872955,0.022928675636649132,0.022697359323501587
270,장군보쌈,Topic 1,0.01685304194688797,0.9318221211433411,0.01720569282770157,0.01703549176454544,0.017083611339330673
271,궁나라냉면묵밥,Topic 2,0.017108747735619545,0.017057368531823158,0.9317721724510193,0.017012419179081917,0.017049232497811317
272,모녀마약김밥,Topic 4,0.02260739728808403,0.022499484941363335,0.022576799616217613,0.022483352571725845,0.9098329544067383
273,갤러리카페 3안,Topic 4,0.014470943249762058,0.014517009258270264,0.01443121675401926,0.014455831609666348,0.9421249628067017
274,장수촌 풍천장어,Topic 1,0.013417945243418217,0.9459928274154663,0.01351938210427761,0.013576021417975426,0.01349379401654005
275,터치더스카이,Topic 1,0.011383945122361183,0.9544873833656311,0.01136525347828865,0.011239550076425076,0.011523830704391003
276,성북동 구포국수,Topic 0,0.8356502652168274,0.04113369807600975,0.04086929187178612,0.04123217612504959,0.04111453518271446
277,잇텐고,Topic 0,0.9461081027984619,0.013495945371687412,0.013495242223143578,0.013458896428346634,0.013441771268844604
278,감나무집기사식당,Topic 1,0.022382402792572975,0.9102790355682373,0.022386496886610985,0.022526701912283897,0.02242540381848812
279,안동국시소람,Topic 1,0.025195345282554626,0.8985542058944702,0.02556757815182209,0.025392252951860428,0.025290600955486298
280,명문막국수,Topic 0,0.9523647427558899,0.011912736110389233,0.011891799978911877,0.01193927600979805,0.011891413480043411
281,슈치쿠,Topic 2,0.010095844976603985,0.010132352821528912,0.9595710635185242,0.010115796700119972,0.010084941051900387
282,청수횟집,Topic 1,0.06787662953138351,0.7271329164505005,0.06815556436777115,0.06839349865913391,0.06844138354063034
